id;title;start_date;end_date;publication_date;description;link;image_url;status
1;Dynamic;2022-05-14T17:25:31;2022-05-14T20:32:07;2022-05-15T14:28:36;Loan;navigating Avon invoice;Account;expedite Concrete Re-contextualized
2;Oklahoma Graphic Forward;2022-05-15T00:46:16;2022-05-14T19:17:16;2022-05-15T06:32:14;backing Cambridgeshire;Graphic;array interactive;Tasty
3;Oregon Developer;2022-05-15T04:31:27;2022-05-15T05:15:39;2022-05-15T14:10:20;withdrawal Handmade;architecture back payment;Kids infrastructures;Designer overriding Ergonomic
4;navigating;2022-05-15T11:35:19;2022-05-15T09:15:20;2022-05-15T02:53:09;invoice;Practical Borders Chief;Intelligent Representative partnerships;intelligence
5;Practical;2022-05-14T20:24:17;2022-05-15T00:13:29;2022-05-14T23:41:27;Granite Future;Directives Function-based;Directives alarm;Netherlands target
6;e-markets;2022-05-15T09:15:26;2022-05-15T03:58:49;2022-05-15T10:31:26;magenta;withdrawal matrix Fresh;quantifying repurpose;orange Practical Manat
7;Unbranded;2022-05-15T04:25:45;2022-05-15T04:11:00;2022-05-14T22:54:01;Internal Research;eco-centric;Georgia program Shoes;invoice Usability
8;visionary;2022-05-15T07:16:17;2022-05-14T22:23:35;2022-05-15T01:39:42;Account optical;Refined RAM;collaboration;Checking
9;sensor AI User-friendly;2022-05-15T08:51:12;2022-05-15T09:56:42;2022-05-15T07:56:50;Industrial;reboot;executive overriding;Orchestrator
10;Massachusetts HDD;2022-05-15T15:10:10;2022-05-15T03:44:02;2022-05-14T16:52:41;Ball invoice;Nauru program;exploit;Pizza application Small
